game_id,season,week,game_type,home_team,away_team,home_score,away_score,home_win,overtime,neutral_site,div_game,roof,surface,stadium,gameday,gametime,spread_line,total_line
2022_01_BUF_KC,2022,1,REG,KC,BUF,27,24,1,0,0,0,retractable,grass,Arrowhead Stadium,2022-09-11,13:00,-3.5,54.5
2022_01_DAL_PHI,2022,1,REG,PHI,DAL,26,17,1,0,0,0,outdoors,grass,Lincoln Financial Field,2022-09-11,13:00,-5.5,48.5
2022_01_BAL_SF,2022,1,REG,SF,BAL,27,20,1,0,0,0,outdoors,grass,Levi's Stadium,2022-09-11,13:00,-4.5,45.5
2022_01_DET_MIA,2022,1,REG,MIA,DET,28,17,1,0,0,0,outdoors,grass,Hard Rock Stadium,2022-09-11,13:00,-6.5,50.5
2022_02_PHI_BUF,2022,2,REG,BUF,PHI,31,21,1,0,0,0,outdoors,astroturf,Highmark Stadium,2022-09-18,13:00,-4.5,52.5
2022_02_SF_DAL,2022,2,REG,DAL,SF,23,17,1,0,0,0,retractable,astroturf,AT&T Stadium,2022-09-18,13:00,-3.5,47.5
2022_02_MIA_BAL,2022,2,REG,BAL,MIA,28,13,1,0,0,0,retractable,astroturf,M&T Bank Stadium,2022-09-18,13:00,-7.5,46.5
2022_02_KC_DET,2022,2,REG,DET,KC,14,30,0,0,0,0,retractable,astroturf,Ford Field,2022-09-18,13:00,6.5,51.5
2022_03_PHI_KC,2022,3,REG,KC,PHI,30,20,1,0,0,0,retractable,grass,Arrowhead Stadium,2022-09-25,13:00,-7.5,55.0
2022_03_DAL_BUF,2022,3,REG,BUF,DAL,28,14,1,0,0,0,outdoors,astroturf,Highmark Stadium,2022-09-25,13:00,-5.5,53.0
2022_03_MIA_SF,2022,3,REG,SF,MIA,34,10,1,0,0,0,outdoors,grass,Levi's Stadium,2022-09-25,13:00,-6.5,50.0
2022_03_KC_BAL,2022,3,REG,BAL,KC,24,27,0,0,0,0,retractable,astroturf,M&T Bank Stadium,2022-09-25,13:00,-1.5,47.5
