game_id,season,week,home_team,away_team,spread_home,spread_away,total_line,home_ml,away_ml,home_covered,away_covered,over_hit,source
2022_01_BUF_KC,2022,1,KC,BUF,-3.5,3.5,54.5,-130,110,0,1,0,consensus
2022_01_DAL_PHI,2022,1,PHI,DAL,-5.5,5.5,48.5,-130,110,1,0,0,consensus
2022_01_BAL_SF,2022,1,SF,BAL,-4.5,4.5,45.5,-130,110,1,0,1,consensus
2022_01_DET_MIA,2022,1,MIA,DET,-6.5,6.5,50.5,-160,140,1,0,0,consensus
2022_02_PHI_BUF,2022,2,BUF,PHI,-4.5,4.5,52.5,-130,110,1,0,0,consensus
2022_02_SF_DAL,2022,2,DAL,SF,-3.5,3.5,47.5,-130,110,1,0,0,consensus
2022_02_MIA_BAL,2022,2,BAL,MIA,-7.5,7.5,46.5,-160,140,1,0,0,consensus
2022_02_KC_DET,2022,2,DET,KC,6.5,-6.5,51.5,140,-160,0,1,0,consensus
2022_03_PHI_KC,2022,3,KC,PHI,-7.5,7.5,55.0,-160,140,1,0,0,consensus
2022_03_DAL_BUF,2022,3,BUF,DAL,-5.5,5.5,53.0,-130,110,1,0,0,consensus
2022_03_MIA_SF,2022,3,SF,MIA,-6.5,6.5,50.0,-160,140,1,0,0,consensus
2022_03_KC_BAL,2022,3,BAL,KC,-1.5,1.5,47.5,-110,-110,0,1,1,consensus
2022_04_SF_PHI,2022,4,PHI,SF,-3.5,3.5,45.5,-130,110,1,0,0,consensus
2022_04_BAL_DAL,2022,4,DAL,BAL,-2.5,2.5,46.0,-110,-110,0,1,0,consensus
2022_04_BUF_MIA,2022,4,MIA,BUF,-3.5,3.5,53.0,-130,110,0,1,0,consensus
2022_04_DET_BUF,2022,4,BUF,DET,7.5,-7.5,51.0,140,-160,1,0,0,consensus
2022_05_SF_KC,2022,5,KC,SF,-10.5,10.5,54.5,-160,140,1,0,0,consensus
2022_05_BAL_BUF,2022,5,BUF,BAL,-3.5,3.5,49.5,-130,110,0,1,0,consensus
2022_05_DET_PHI,2022,5,PHI,DET,-8.5,8.5,50.5,-160,140,1,0,0,consensus
2022_05_MIA_DAL,2022,5,DAL,MIA,1.5,-1.5,52.0,-110,-110,0,1,0,consensus
2022_06_BUF_KC,2022,6,KC,BUF,2.5,-2.5,55.5,-110,-110,0,1,0,consensus
2022_06_PHI_BAL,2022,6,BAL,PHI,-2.5,2.5,46.5,-110,-110,0,1,0,consensus
2022_06_DAL_SF,2022,6,SF,DAL,2.5,-2.5,49.5,-110,-110,0,1,0,consensus
2022_06_DET_MIA,2022,6,MIA,DET,-7.5,7.5,49.5,-160,140,0,1,0,consensus
2022_07_KC_PHI,2022,7,PHI,KC,2.5,-2.5,54.5,-110,-110,1,0,0,consensus
2022_07_BUF_DAL,2022,7,DAL,BUF,2.5,-2.5,53.5,-110,-110,1,0,0,consensus
2022_07_SF_MIA,2022,7,MIA,SF,-4.5,4.5,47.5,-130,110,0,1,0,consensus
2022_07_BAL_DET,2022,7,DET,BAL,-4.5,4.5,47.0,-130,110,0,1,0,consensus
2023_01_KC_BUF,2023,1,BUF,KC,1.5,-1.5,55.5,-110,-110,1,0,0,consensus
2023_01_PHI_DAL,2023,1,DAL,PHI,-1.5,1.5,47.5,-110,-110,0,1,1,consensus
2023_01_SF_BAL,2023,1,BAL,SF,-2.5,2.5,48.0,-110,-110,0,1,1,consensus
2023_01_MIA_DET,2023,1,DET,MIA,4.5,-4.5,52.5,110,-130,1,0,0,consensus
2023_02_BUF_PHI,2023,2,PHI,BUF,-3.5,3.5,50.5,-130,110,0,1,0,consensus
2023_02_DAL_SF,2023,2,SF,DAL,3.5,-3.5,44.5,110,-130,1,0,0,consensus
2023_02_BAL_MIA,2023,2,MIA,BAL,-1.5,1.5,49.5,-110,-110,0,1,0,consensus
2023_02_DET_KC,2023,2,KC,DET,-3.5,3.5,54.5,-130,110,1,0,0,consensus
2023_03_PHI_KC,2023,3,KC,PHI,3.5,-3.5,55.0,110,-130,1,0,0,consensus
2023_03_DAL_BUF,2023,3,BUF,DAL,4.5,-4.5,50.5,110,-130,1,0,0,consensus
2023_03_MIA_SF,2023,3,SF,MIA,3.5,-3.5,51.5,110,-130,1,0,0,consensus
2023_03_BAL_DET,2023,3,DET,BAL,-7.5,7.5,46.0,-160,140,0,1,0,consensus
2023_04_PHI_SF,2023,4,SF,PHI,1.5,-1.5,49.5,-110,-110,1,0,1,consensus
2023_04_DAL_BAL,2023,4,BAL,DAL,-1.5,1.5,51.0,-110,-110,1,0,1,consensus
2023_04_KC_MIA,2023,4,MIA,KC,-5.5,5.5,52.5,-130,110,0,1,0,consensus
2023_04_BUF_DET,2023,4,DET,BUF,-4.5,4.5,53.5,-130,110,0,1,1,consensus
2023_05_KC_SF,2023,5,SF,KC,-2.5,2.5,55.0,-110,-110,0,1,0,consensus
2023_05_BUF_BAL,2023,5,BAL,BUF,-3.5,3.5,50.5,-130,110,0,1,0,consensus
2023_05_MIA_PHI,2023,5,PHI,MIA,2.5,-2.5,51.5,-110,-110,0,1,0,consensus
2023_05_DAL_DET,2023,5,DET,DAL,0.5,-0.5,53.0,-110,-110,1,0,0,consensus
2023_06_BUF_KC,2023,6,KC,BUF,3.5,-3.5,56.5,110,-130,1,0,0,consensus
2023_06_PHI_BAL,2023,6,BAL,PHI,-1.5,1.5,47.5,-110,-110,0,1,0,consensus
2023_06_SF_DAL,2023,6,DAL,SF,-2.5,2.5,48.5,-110,-110,0,1,0,consensus
2023_06_MIA_DET,2023,6,DET,MIA,-1.5,1.5,55.5,-110,-110,1,0,0,consensus
2023_07_PHI_KC,2023,7,KC,PHI,5.5,-5.5,53.5,110,-130,1,0,0,consensus
2023_07_BUF_DAL,2023,7,DAL,BUF,-3.5,3.5,51.0,-130,110,0,1,0,consensus
2023_07_SF_MIA,2023,7,MIA,SF,-4.5,4.5,51.5,-130,110,0,1,0,consensus
2023_07_DET_BAL,2023,7,BAL,DET,-1.5,1.5,50.5,-110,-110,0,1,1,consensus
