player_id,player_name,team,position,season,games_played,passing_yards,passing_tds,interceptions,completion_pct,passer_rating,carries,rushing_yards,rushing_tds,yards_per_carry,targets,receptions,receiving_yards,receiving_tds,yards_per_reception,fantasy_points_total,fantasy_points_per_game
00-0036355,Patrick Mahomes,KC,QB,2022,17,5250,41,12,67.1,105.2,61,358,4,5.9,,,,,,378.5,22.3
00-0036355,Patrick Mahomes,KC,QB,2023,16,4183,27,11,65.9,92.6,75,424,4,5.7,,,,,,320.4,20.0
00-0033873,Josh Allen,BUF,QB,2022,17,4283,35,14,63.3,96.6,122,762,7,6.2,,,,,,421.0,24.8
00-0033873,Josh Allen,BUF,QB,2023,16,4306,29,18,65.4,86.2,111,524,15,4.7,,,,,,396.2,24.8
00-0036898,Jalen Hurts,PHI,QB,2022,15,3701,22,6,66.5,101.5,165,760,13,4.6,,,,,,378.2,25.2
00-0036898,Jalen Hurts,PHI,QB,2023,16,3858,23,15,67.2,94.1,133,605,15,4.6,,,,,,332.0,20.8
00-0037077,Brock Purdy,SF,QB,2022,13,1374,13,4,67.1,107.4,22,101,2,4.6,,,,,,168.0,12.9
00-0037077,Brock Purdy,SF,QB,2023,16,4280,31,11,69.4,113.0,40,144,2,3.6,,,,,,332.4,20.8
00-0033294,Lamar Jackson,BAL,QB,2022,12,2242,17,7,62.3,87.9,133,764,3,5.7,,,,,,233.2,19.4
00-0033294,Lamar Jackson,BAL,QB,2023,17,3678,24,7,67.0,102.7,157,821,5,5.2,,,,,,344.4,20.3
00-0035676,Tyreek Hill,MIA,WR,2022,17,,,,,,,,,,170,119,1710,7,14.4,,
00-0035676,Tyreek Hill,MIA,WR,2023,16,,,,,,,,,,171,119,1799,13,15.1,,
00-0035704,Travis Kelce,KC,TE,2022,17,,,,,,,,,,150,110,1338,12,12.2,,
00-0035704,Travis Kelce,KC,TE,2023,15,,,,,,,,,,121,93,1061,5,11.4,,
00-0033699,Stefon Diggs,BUF,WR,2022,17,,,,,,,,,,165,108,1429,11,13.2,,
00-0033699,Stefon Diggs,BUF,WR,2023,16,,,,,,,,,,151,107,1183,8,11.1,,
00-0037744,Amon-Ra St. Brown,DET,WR,2022,17,,,,,,,,,,168,106,1161,6,11.0,,
00-0037744,Amon-Ra St. Brown,DET,WR,2023,17,,,,,,,,,,163,119,1515,10,12.7,,
00-0035485,A.J. Brown,PHI,WR,2022,16,,,,,,,,,,145,88,1496,11,17.0,,
00-0035485,A.J. Brown,PHI,WR,2023,16,,,,,,,,,,158,106,1456,7,13.7,,
